docID, likelihood 
755, -690.7372777657 
756, -805.7017607718 
757, -867.1766346546 
758, -1068.2241943530 
759, -931.4103772948 
760, -665.6862085844 
761, -820.2227829161 
762, -1192.8761493691 
763, -721.0030295703 
764, -664.8564053105 
765, -826.3964444147 
766, -1214.6281891646 
767, -831.6759417044 
768, -947.6454290571 
769, -635.3093390865 
770, -717.4597059339 
771, -608.6079626836 
772, -731.1708641188 
773, -554.8775122678 
774, -741.7583349943 
775, -839.7004189071 
776, -743.0945533190 
777, -654.5397117317 
778, -480.6015318596 
779, -702.2857015713 
780, -644.5201377392 
781, -580.5910393338 
782, -621.6063416500 
783, -673.3543173364 
784, -798.0287186330 
785, -608.1760793170 
786, -628.0646411075 
787, -506.5789973228 
788, -531.9174010739 
789, -714.7564020181 
790, -864.3368134800 
791, -734.6517222968 
792, -568.8877513468 
793, -671.3185907931 
794, -647.5042269111 
795, -1239.3861798005 
796, -667.1893452492 
797, -868.0070034198 
798, -890.5195822731 
799, -792.7933137965 
800, -900.6251582620 
801, -770.3572416507 
802, -927.5174806192 
803, -885.1603252094 
804, -1184.7237497688 
805, -709.0549543700 
806, -676.5886528306 
807, -699.3602339370 
808, -970.5407621995 
809, -752.7068808095 
810, -847.3531930666 
811, -885.7613963131 
812, -857.6812488269 
813, -937.9176752759 
814, -1004.7293916567 
815, -729.2253783017 
816, -848.6269483738 
817, -850.9005540997 
818, -904.1268591446 
819, -885.8652000312 
820, -1093.1619869748 
821, -1057.8227584684 
822, -1046.2121344779 
823, -554.6801923196 
824, -825.1885449166 
825, -1057.1635998887 
826, -798.7015335384 
827, -681.3621696159 
828, -847.1361957936 
829, -1203.5371862338 
830, -1010.3024892541 
831, -887.6600381902 
832, -940.5225314351 
833, -1144.5790179770 
834, -551.2791287543 
835, -935.6284705827 
836, -795.5763497555 
837, -816.4580314922 
838, -737.9151075351 
839, -706.8120833669 
840, -985.1590427293 
841, -805.0304103652 
842, -480.8247171327 
843, -1252.5148179512 
844, -647.5916302101 
845, -1115.6119128838 
846, -922.4140792216 
847, -1019.8667097318 
848, -960.8968115030 
849, -786.2408937830 
850, -1022.5210483442 
851, -707.6788991015 
852, -744.0697332326 
853, -752.4640992463 
854, -890.3127251100 
855, -862.9011629554 
856, -752.6750360822 
857, -942.4725063218 
858, -859.8962753510 
859, -805.0572573225 
860, -522.9152137788 
861, -897.4891758469 
862, -1221.1873899214 
863, -870.9814179640 
864, -1155.2866468621 
865, -851.3759953278 
866, -820.8126959897 
867, -699.2328992919 
868, -780.0184747682 
869, -676.5215828800 
870, -714.6828727757 
871, -823.4656288582 
872, -1004.2581712016 
873, -652.9627308236 
874, -727.0637072990 
875, -686.5128268089 
876, -677.8651738657 
877, -628.6383612009 
878, -585.2621897365 
879, -491.2839143291 
880, -767.3205601935 
881, -513.9910119595 
882, -420.8569679068 
883, -816.1273198988 
884, -537.2978524116 
885, -596.4753477226 
886, -717.3146983112 
887, -652.0919567426 
888, -583.6851169015 
889, -596.1706218484 
890, -656.2800231608 
891, -815.3723566395 
892, -856.9489998950 
893, -496.3133320885 
894, -569.0877817619 
895, -505.9305274858 
896, -822.3298604002 
897, -543.0505141050 
898, -595.0049850524 
899, -698.4252483669 
900, -696.7764924367 
901, -790.8460259413 
902, -536.2095779990 
903, -588.0188840604 
904, -671.5957303373 
905, -1051.7340760523 
906, -840.3038184209 
907, -551.0468390205 
908, -598.9466845633 
909, -778.5458212039 
910, -736.6833064912 
911, -768.1959939277 
912, -1054.6265538577 
913, -934.3083963337 
914, -932.7510822598 
915, -590.1560571917 
916, -969.2236485169 
917, -1008.0976929890 
918, -954.7506462650 
919, -1042.4615508960 
920, -551.4843430113 
921, -547.2416652028 
922, -559.1237916518 
923, -504.6320431875 
924, -519.7159456068 
925, -782.6084886698 
926, -784.7675423337 
927, -726.6513399290 
928, -685.2783783832 
929, -513.2271372271 
930, -521.8910029904 
931, -784.3512188628 
932, -830.5513080853 
933, -734.9118899860 
934, -668.7794601259 
935, -688.5135618206 
936, -828.2159583097 
937, -938.5072132115 
938, -876.0142132540 
939, -802.5595166620 
940, -519.4853202393 
941, -1037.0126530790 
942, -1149.8035845963 
943, -854.4363423775 
944, -705.9567326214 
945, -677.3671992397 
946, -802.0987105946 
947, -926.4229927860 
948, -805.9860426226 
949, -1106.2325644038 
950, -914.5676599372 
951, -964.4321271628 
952, -1044.6263599471 
953, -900.1585295195 
954, -900.6346092050 
955, -617.3229375379 
956, -1058.4314317071 
957, -631.1786085542 
958, -597.6566557336 
959, -616.4413406184 
960, -745.4412362124 
961, -942.2327837954 
962, -932.7766879623 
963, -686.8633212399 
964, -757.3519409482 
965, -599.0180379536 
966, -471.5884656604 
967, -623.6120689345 
968, -781.5547462953 
969, -947.4268926932 
970, -876.2099927915 
971, -897.1800906242 
972, -805.5242621596 
973, -593.1872984683 
974, -634.0937962332 
975, -563.7877102653 
976, -564.5575749303 
977, -874.3367516463 
978, -837.4815548190 
979, -797.2611497222 
980, -869.1504490145 
981, -546.6381769295 
982, -725.9650555164 
983, -634.6098510201 
984, -821.2398989285 
985, -807.9360653936 
986, -719.0427337118 
987, -712.5147467391 
988, -789.3989580455 
989, -872.6817583872 
990, -783.8083582324 
991, -566.4205620651 
992, -561.9413083809 
993, -561.1493551516 
994, -568.4790675648 
995, -667.9825481487 
996, -647.8071131408 
997, -640.1985857203 
998, -687.7860045247 
999, -542.6613350198 
1000, -571.8126579427 
1001, -487.5991288974 
1002, -498.8773892069 
1003, -593.5216675828 
1004, -660.7453765152 
1005, -649.7585457924 
1006, -591.2595466580 
1007, -665.9890093633 
1008, -655.3086668532 
1009, -569.0444667661 
1010, -484.9846113818 
1011, -479.1215861410 
1012, -445.7592602355 
1013, -624.3563902572 
1014, -553.7223066035 
1015, -491.2349876977 
1016, -551.5914929150 
1017, -470.2022296163 
1018, -693.9261805514 
1019, -636.0129397599 
1020, -680.7864052104 
